epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,536.848,2.99518,0.49218,0.88028,2.02651,0.000109613,0.000109613,0.000109613
2,1062.33,1.72613,0.66588,0.97966,0.99979,0.000198772,0.000198772,0.000198772
3,1576.71,1.09191,0.75587,0.98826,0.64853,0.000265953,0.000265953,0.000265953
4,2091.22,0.84718,0.80516,0.99374,0.50635,0.000234099,0.000234099,0.000234099
5,2606.12,0.74604,0.82003,0.99531,0.44157,0.000201132,0.000201132,0.000201132
6,3123.03,0.63,0.84585,0.99844,0.3734,0.000168165,0.000168165,0.000168165
7,3640.37,0.56678,0.84664,0.99922,0.34808,0.000135198,0.000135198,0.000135198
8,4163.97,0.50902,0.88106,1,0.28882,0.000102231,0.000102231,0.000102231
9,4685.79,0.50134,0.8795,0.99922,0.27625,6.9264e-05,6.9264e-05,6.9264e-05
10,5200.16,0.45725,0.88732,1,0.26578,3.6297e-05,3.6297e-05,3.6297e-05
